Project,FileName,ASMRV,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed
java-smt-1.0.1,src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,0,94,0,0,0,0,0,0,0,0,1,0,126,46,0,1
java-smt-1.0.1,lib/native/source/libmathsat5j/optimization.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-smt-1.0.1,lib/native/source/libmathsat5j/org_sosy_1lab_java_1smt_solvers_mathsat5_Mathsat5NativeApi.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java-smt-2.0.0-alpha,src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,0,97,0,0,0,0,0,0,0,0,1,0,129,43,0,1
java-smt-2.0.0-alpha,lib/native/source/libmathsat5j/optimization.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-smt-2.0.0-alpha,lib/native/source/libmathsat5j/org_sosy_1lab_java_1smt_solvers_mathsat5_Mathsat5NativeApi.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java-smt-2.0.0,src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,0,101,0,0,0,0,0,0,0,0,1,0,137,41,0,0
java-smt-2.0.0,lib/native/source/libmathsat5j/optimization.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-smt-2.0.0,lib/native/source/libmathsat5j/org_sosy_1lab_java_1smt_solvers_mathsat5_Mathsat5NativeApi.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java-smt-0.60,lib/native/source/libmathsat5j/org_sosy_1lab_solver_mathsat5_Mathsat5NativeApi.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java-smt-0.60,src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,0,89,0,0,0,0,0,0,0,0,1,0,126,46,0,1
java-smt-3.0.0,src/org/sosy_lab/java_smt/solvers/mathsat5/Mathsat5NativeApi.java,0,105,0,0,0,0,0,0,0,0,1,0,137,38,0,1
java-smt-3.0.0,lib/native/source/libmathsat5j/optimization.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java-smt-3.0.0,lib/native/source/libmathsat5j/org_sosy_1lab_java_1smt_solvers_mathsat5_Mathsat5NativeApi.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
