Project Name,JNI Files,Smelly Files,Faulty Files,Smelly But Not Faulty,Faulty But Not Smelly,Both Smelly & Faulty,Not Smelly & Not Faulty
conscrypt-1.0.0.RC11,13,0,3,0,3,0,10
conscrypt-1.0.0.RC14,13,0,7,0,7,0,6
conscrypt-1.0.0.RC2,13,0,1,0,1,0,12
conscrypt-1.0.0.RC8,13,0,9,0,9,0,4
conscrypt-1.0.1,13,0,6,0,6,0,7
conscrypt-1.0.2,13,0,0,0,0,0,13
conscrypt-1.1.1,13,0,2,0,2,0,11
conscrypt-1.2.0,13,0,4,0,4,0,9
conscrypt-1.4.2,13,0,6,0,6,0,7
conscrypt-2.1.0,13,0,2,0,2,0,11
java-smt-0.60,2,0,2,0,2,0,0
java-smt-1.0.1,3,0,2,0,2,0,1
java-smt-2.0.0-alpha,3,0,2,0,2,0,1
java-smt-2.0.0,3,0,0,0,0,0,3
java-smt-3.0.0,3,0,2,0,2,0,1
javacpp-0.5,12,0,12,0,12,0,0
javacpp-0.9,12,0,12,0,12,0,0
javacpp-1.1,14,0,14,0,14,0,0
javacpp-1.2.1,13,0,13,0,13,0,0
javacpp-1.2.7,13,0,12,0,12,0,1
javacpp-1.2,13,0,11,0,11,0,2
javacpp-1.3.2,14,0,4,0,4,0,10
javacpp-1.3,13,0,9,0,9,0,4
javacpp-1.4.2,16,0,3,0,3,0,13
javacpp-1.4.4,18,0,3,0,3,0,15
javacpp-1.4,15,0,4,0,4,0,11
javacpp-1.5.1-1,18,0,3,0,3,0,15
javacpp-1.5,18,0,3,0,3,0,15
jpype-v0.5.4.5,4,0,4,0,4,0,0
jpype-v0.5.5.1,4,0,3,0,3,0,1
jpype-v0.5.5.4,4,0,0,0,0,0,4
jpype-v0.5.6,4,0,1,0,1,0,3
jpype-v0.5.7,5,0,1,0,1,0,4
jpype-v0.6.0,5,0,0,0,0,0,5
jpype-v0.6.1,5,0,2,0,2,0,3
jpype-v0.6.2,5,0,3,0,3,0,2
jpype-v0.6.3,5,0,1,0,1,0,4
jpype-v0.7,7,0,3,0,3,0,4
pljava-V1_4_3,50,0,9,0,9,0,41
pljava-V1_5_0,48,0,13,0,13,0,35
pljava-V1_5_0b3,48,0,0,0,0,0,48
pljava-V1_5_1b1,46,0,23,0,23,0,23
pljava-V1_5_1b2,52,0,9,0,9,0,43
pljava-V1_5_2,52,0,41,0,41,0,11
pljava-V1_5_3,47,0,17,0,17,0,30
pljava-rel1_5_stable-base,50,0,8,0,8,0,42
realm-java-v0.90.0,44,0,30,0,30,0,14
realm-java-v1.2.0,32,0,7,0,7,0,25
realm-java-v2.3.2,49,0,46,0,46,0,3
realm-java-v3.7.2,64,0,37,0,37,0,27
realm-java-v4.4.0,67,0,8,0,8,0,59
realm-java-v5.11.0,79,0,8,0,8,0,71
realm-java-v5.15.0,81,0,2,0,2,0,79
realm-java-v5.4.0,70,0,9,0,9,0,61
realm-java-v5.7.1,72,0,12,0,12,0,60
realm-java-v5.9.0,77,0,13,0,13,0,64
rocksdb-v5.0.2,86,0,49,0,49,0,37
rocksdb-v5.11.2,121,0,60,0,60,0,61
rocksdb-v5.14.3,123,0,10,0,10,0,113
rocksdb-v5.17.2,125,0,18,0,18,0,107
rocksdb-v5.18.3,130,0,43,0,43,0,87
rocksdb-v5.4.6,93,0,82,0,82,0,11
rocksdb-v5.6.2,93,0,29,0,29,0,64
rocksdb-v5.9.2,103,0,33,0,33,0,70
rocksdb-v6.1.1,152,0,12,0,12,0,140
rocksdb-v6.2.2,152,0,7,0,7,0,145
vlc-3.0.0,57,0,14,0,14,0,43
vlc-3.0.11,57,0,14,0,14,0,43
vlc-3.0.13,57,0,27,0,27,0,30
vlc-3.0.92,33,0,9,0,9,0,24
vlc-3.0.96,33,0,5,0,5,0,28
vlc-3.1.0,33,0,10,0,10,0,23
vlc-3.1.2,33,0,13,0,13,0,20
vlc-3.1.6,33,0,8,0,8,0,25
vlc-3.1.7,33,0,15,0,15,0,18
zstd-jni-v0.4.4,6,0,6,0,6,0,0
zstd-jni-v1.3.0-1,14,0,2,0,2,0,12
zstd-jni-v1.3.2-2,14,0,3,0,3,0,11
zstd-jni-v1.3.3-1,14,0,4,0,4,0,10
zstd-jni-v1.3.4-1,15,0,5,0,5,0,10
zstd-jni-v1.3.4-8,15,0,10,0,10,0,5
zstd-jni-v1.3.5-3,15,0,5,0,5,0,10
zstd-jni-v1.3.7-1,15,0,10,0,10,0,5
zstd-jni-v1.3.8-1,15,0,10,0,10,0,5
zstd-jni-v1.4.0-1,15,0,4,0,4,0,11
zstd-jni-v1.4.2-1,15,0,7,0,7,0,8
