Project Name,JNI Files,Smelly Files,Faulty Files,Smelly But Not Faulty,Faulty But Not Smelly,Both Smelly & Faulty,Not Smelly & Not Faulty
conscrypt-1.0.0.RC11,13,4,3,2,1,2,8
conscrypt-1.0.0.RC14,13,3,7,0,4,3,6
conscrypt-1.0.0.RC2,13,4,1,3,0,1,9
conscrypt-1.0.0.RC8,13,4,9,2,7,2,2
conscrypt-1.0.1,13,3,6,0,3,3,7
conscrypt-1.0.2,13,3,0,3,0,0,10
conscrypt-1.1.1,13,3,2,2,1,1,9
conscrypt-1.2.0,13,3,4,1,2,2,8
conscrypt-1.4.2,13,3,6,0,3,3,7
conscrypt-2.1.0,13,3,2,2,1,1,9
java-smt-0.60,2,1,2,0,1,1,0
java-smt-1.0.1,3,1,2,0,1,1,1
java-smt-2.0.0,3,1,0,1,0,0,2
java-smt-2.0.0-alpha,3,1,2,0,1,1,1
java-smt-3.0.0,3,1,2,0,1,1,1
javacpp-0.5,12,12,12,0,0,12,0
javacpp-0.9,12,12,12,0,0,12,0
javacpp-1.1,14,14,14,0,0,14,0
javacpp-1.2,13,13,11,2,0,11,0
javacpp-1.2.1,13,13,13,0,0,13,0
javacpp-1.2.7,13,13,12,1,0,12,0
javacpp-1.3,13,13,9,4,0,9,0
javacpp-1.3.2,14,14,4,10,0,4,0
javacpp-1.4,15,15,4,11,0,4,0
javacpp-1.4.2,16,16,3,13,0,3,0
javacpp-1.4.4,18,18,3,15,0,3,0
javacpp-1.5,18,18,3,15,0,3,0
javacpp-1.5.1-1,18,18,3,15,0,3,0
jpype-v0.5.4.5,4,1,4,0,3,1,0
jpype-v0.5.5.1,4,1,3,1,3,0,0
jpype-v0.5.5.4,4,2,0,2,0,0,2
jpype-v0.5.6,4,2,1,2,1,0,1
jpype-v0.5.7,5,3,1,3,1,0,1
jpype-v0.6.0,5,3,0,3,0,0,2
jpype-v0.6.1,5,3,2,2,1,1,1
jpype-v0.6.2,5,3,3,2,2,1,0
jpype-v0.6.3,5,3,1,3,1,0,1
jpype-v0.7,7,5,3,4,2,1,0
pljava-rel1_5_stable-base,50,20,8,17,5,3,25
pljava-V1_4_3,50,19,9,13,3,6,28
pljava-V1_5_0,48,19,13,14,8,5,21
pljava-V1_5_0b3,48,19,0,19,0,0,29
pljava-V1_5_1b1,46,18,23,11,16,7,12
pljava-V1_5_1b2,52,21,9,16,4,5,27
pljava-V1_5_2,52,21,41,3,23,18,8
pljava-V1_5_3,47,20,17,14,11,6,16
realm-java-v0.90.0,44,18,30,5,17,13,9
realm-java-v1.2.0,32,12,7,6,1,6,19
realm-java-v2.3.2,49,19,46,1,28,18,2
realm-java-v3.7.2,64,23,37,8,22,15,19
realm-java-v4.4.0,67,22,8,17,3,5,42
realm-java-v5.11.0,79,19,8,16,5,3,55
realm-java-v5.15.0,81,26,2,24,0,2,55
realm-java-v5.4.0,70,22,9,18,5,4,43
realm-java-v5.7.1,72,23,12,16,5,7,44
realm-java-v5.9.0,77,26,13,20,7,6,44
rocksdb-v5.0.2,86,46,49,27,30,19,10
rocksdb-v5.11.2,121,53,60,43,50,10,18
rocksdb-v5.14.3,123,53,10,48,5,5,65
rocksdb-v5.17.2,125,53,18,43,8,10,64
rocksdb-v5.18.3,130,52,43,36,27,16,51
rocksdb-v5.4.6,93,44,82,9,47,35,2
rocksdb-v5.6.2,93,43,29,28,14,15,36
rocksdb-v5.9.2,103,45,33,31,19,14,39
rocksdb-v6.1.1,152,59,12,50,3,9,90
rocksdb-v6.2.2,152,59,7,55,3,4,90
vlc-3.0.0,57,16,14,7,5,9,36
vlc-3.0.11,57,16,14,11,9,5,32
vlc-3.0.13,57,15,27,2,14,13,28
vlc-3.0.92,33,14,9,7,2,7,17
vlc-3.0.96,33,14,5,13,4,1,15
vlc-3.1.0,33,14,10,8,4,6,15
vlc-3.1.2,33,14,13,8,7,6,12
vlc-3.1.6,33,14,8,11,5,3,14
vlc-3.1.7,33,14,15,8,9,6,10
zstd-jni-v0.4.4,6,3,6,0,3,3,0
zstd-jni-v1.3.0-1,14,10,2,9,1,1,3
zstd-jni-v1.3.2-2,14,13,3,11,1,2,0
zstd-jni-v1.3.3-1,14,10,4,8,2,2,2
zstd-jni-v1.3.4-1,15,14,5,10,1,4,0
zstd-jni-v1.3.4-8,15,14,10,5,1,9,0
zstd-jni-v1.3.5-3,15,14,5,10,1,4,0
zstd-jni-v1.3.7-1,15,14,10,5,1,9,0
zstd-jni-v1.3.8-1,15,10,10,4,4,6,1
zstd-jni-v1.4.0-1,15,15,4,11,0,4,0
zstd-jni-v1.4.2-1,15,15,7,8,0,7,0
